number,value,datetime_start,datetime_complete,duration,params_action_noise_sigma,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_policy_delay,params_target_noise_clip,params_target_policy_noise,params_tau,user_attrs_std_reward,state
0,132.01550733333332,2026-05-03 17:46:54.552169,2026-05-03 17:47:18.881763,0 days 00:00:24.329594,0.21854305348131312,64,200000,0.9907896893992206,0.0022648248189516837,5000,3,0.35916701118526945,0.23366475107128326,0.005034443102887247,11.115114620313982,COMPLETE
1,-226.33829666666668,2026-05-03 17:47:18.887648,2026-05-03 17:48:00.113835,0 days 00:00:41.226187,0.18105311308911887,256,100000,0.9583556820606772,0.0003278187653397617,5000,2,0.15860326840383032,0.15661481921067974,0.0022359802667203106,7.295975364836628,COMPLETE
2,-83.20425933333333,2026-05-03 17:48:00.117546,2026-05-03 17:48:51.112294,0 days 00:00:50.994748,0.3579048619304706,128,50000,0.9975096467604634,0.0001231150363241564,2000,1,0.1530955012311517,0.37265598225809093,0.015727523643861176,4.6759710668557615,COMPLETE
3,-78.69893,2026-05-03 17:48:51.115895,2026-05-03 17:49:29.508743,0 days 00:00:38.392848,0.13819228808861533,128,50000,0.9983574598934254,1.2942956115511215e-05,2000,3,0.5374043008245923,0.297400070346666,0.01567265061663649,5.863816676966343,COMPLETE
4,-90.04065766666668,2026-05-03 17:49:29.512668,2026-05-03 17:50:15.242563,0 days 00:00:45.729895,0.3970716560086756,256,50000,0.99347342438624,1.5255188579331406e-05,2000,3,0.5625803079727366,0.2464470191493237,0.009972083578077036,6.14414988226884,COMPLETE
5,-112.77828533333333,2026-05-03 17:50:15.246121,2026-05-03 17:50:46.553067,0 days 00:00:31.306946,0.27220801836397585,64,100000,0.9870220057886093,0.00019718442220616176,1000,2,0.5848722277386501,0.37539417831990063,0.005347165144340827,1.0084317925840183,COMPLETE
6,1.4229336666666679,2026-05-03 17:50:46.556430,2026-05-03 17:51:27.739663,0 days 00:00:41.183233,0.33503169042969055,256,200000,0.9900827235302021,0.0014411644831969473,5000,2,0.17191922040020968,0.1277377336647556,0.017353881081870526,37.472550878498026,COMPLETE
7,262.222815,2026-05-03 17:51:27.743007,2026-05-03 17:52:31.172839,0 days 00:01:03.429832,0.2019268271316326,256,100000,0.951807460420372,0.0021662155489352167,1000,1,0.24373713440018346,0.36789306008832884,0.01258172234561804,17.465982752029664,COMPLETE
8,-111.12673166666667,2026-05-03 17:52:31.176252,2026-05-03 17:53:07.588088,0 days 00:00:36.411836,0.1152026924410504,64,50000,0.9544241987326659,0.00016309244205756757,2000,1,0.5065386171053694,0.2568125301158847,0.01687074741619552,4.300538952542908,COMPLETE
9,-250.9232903333333,2026-05-03 17:53:07.591863,2026-05-03 17:53:41.036288,0 days 00:00:33.444425,0.05746452301753527,128,200000,0.9929896283156681,0.00018557377359658557,5000,2,0.24511137454027102,0.2353777024246023,0.005900890926587956,5.058440049307983,COMPLETE
