number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_rate,params_learning_starts,params_tau,user_attrs_std_reward,state
0,-95.03794733333332,2026-05-03 01:37:36.305286,2026-05-03 01:38:11.962982,0 days 00:00:35.657696,64,50000,auto,0.9975255827559377,8.468008575248323e-05,500,0.01681641017520801,1.7455860788983062,COMPLETE
1,-128.992872,2026-05-03 01:38:11.968404,2026-05-03 01:38:44.785180,0 days 00:00:32.816776,64,50000,auto_0.1,0.975197487482267,5.670807781371427e-05,2000,0.012255876808378807,20.462879431071126,COMPLETE
2,-110.52799933333334,2026-05-03 01:38:44.788835,2026-05-03 01:39:21.688686,0 days 00:00:36.899851,128,200000,auto,0.9945566997018603,1.4492412389916857e-05,2000,0.0059168196504003215,4.853577440404783,COMPLETE
3,-23.829305333333334,2026-05-03 01:39:21.692274,2026-05-03 01:40:02.374817,0 days 00:00:40.682543,128,50000,auto_0.1,0.9659411862073999,0.0002260828676373493,500,0.008384868504100158,39.76005970462382,COMPLETE
4,-83.29172933333335,2026-05-03 01:40:02.378424,2026-05-03 01:40:46.837588,0 days 00:00:44.459164,256,100000,auto_0.1,0.9857213512340084,4.9648810171066576e-05,2000,0.01565413658703297,17.256927326243325,COMPLETE
5,-65.70548500000001,2026-05-03 01:40:46.841212,2026-05-03 01:41:20.835692,0 days 00:00:33.994480,64,200000,auto_0.1,0.9849489945739267,0.0013740794394697655,1000,0.01545491592372105,18.309724723664765,COMPLETE
6,-77.79571733333334,2026-05-03 01:41:20.839157,2026-05-03 01:41:53.236106,0 days 00:00:32.396949,64,100000,auto_0.1,0.9870220057886093,0.00019718442220616176,1000,0.005347165144340827,7.416393974843629,COMPLETE
7,1214.4261866666668,2026-05-03 01:41:53.239506,2026-05-03 01:42:36.035673,0 days 00:00:42.796167,256,200000,auto_0.5,0.9553925443018562,0.0020089716820180232,2000,0.005330768088296892,14.631358401505944,COMPLETE
8,-96.45762566666667,2026-05-03 01:42:36.039498,2026-05-03 01:43:08.979650,0 days 00:00:32.940152,64,200000,auto_0.1,0.9976173220533271,1.0404501336028154e-05,2000,0.019286498603900113,9.865095223515597,COMPLETE
9,-119.84920799999999,2026-05-03 01:43:08.983788,2026-05-03 01:43:40.326955,0 days 00:00:31.343167,128,200000,auto,0.9618607083040634,5.0767343982976065e-05,5000,0.013770575400711691,10.804738387644191,COMPLETE
