number,value,datetime_start,datetime_complete,duration,params_action_noise_sigma,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_policy_delay,params_target_noise_clip,params_target_policy_noise,params_tau,user_attrs_std_reward,state
0,74.15391866666667,2026-05-03 01:32:12.012571,2026-05-03 01:32:32.677176,0 days 00:00:20.664605,0.21854305348131312,64,200000,0.9907896893992206,0.0022648248189516837,5000,3,0.35916701118526945,0.23366475107128326,0.005034443102887247,31.466171644975308,COMPLETE
1,-242.07927500000002,2026-05-03 01:32:32.682703,2026-05-03 01:33:04.914508,0 days 00:00:32.231805,0.18105311308911887,256,100000,0.9583556820606772,0.0003278187653397617,5000,2,0.15860326840383032,0.15661481921067974,0.0022359802667203106,10.286540311412606,COMPLETE
2,-79.51343866666667,2026-05-03 01:33:04.919079,2026-05-03 01:33:43.539265,0 days 00:00:38.620186,0.3579048619304706,128,50000,0.9975096467604634,0.0001231150363241564,2000,1,0.1530955012311517,0.37265598225809093,0.015727523643861176,1.8644630319399955,COMPLETE
3,-80.88324333333333,2026-05-03 01:33:43.542804,2026-05-03 01:34:12.129235,0 days 00:00:28.586431,0.13819228808861533,128,50000,0.9983574598934254,1.2942956115511215e-05,2000,3,0.5374043008245923,0.297400070346666,0.01567265061663649,3.471853469335877,COMPLETE
4,-97.262367,2026-05-03 01:34:12.133017,2026-05-03 01:34:48.530771,0 days 00:00:36.397754,0.3970716560086756,256,50000,0.99347342438624,1.5255188579331406e-05,2000,3,0.5625803079727366,0.2464470191493237,0.009972083578077036,5.446652876090105,COMPLETE
5,-106.63093099999999,2026-05-03 01:34:48.534589,2026-05-03 01:35:15.701275,0 days 00:00:27.166686,0.27220801836397585,64,100000,0.9870220057886093,0.00019718442220616176,1000,2,0.5848722277386501,0.37539417831990063,0.005347165144340827,8.971011366459116,COMPLETE
6,-12.883890333333332,2026-05-03 01:35:15.705223,2026-05-03 01:35:48.093701,0 days 00:00:32.388478,0.33503169042969055,256,200000,0.9900827235302021,0.0014411644831969473,5000,2,0.17191922040020968,0.1277377336647556,0.017353881081870526,23.624396627681033,COMPLETE
7,256.6258726666667,2026-05-03 01:35:48.097699,2026-05-03 01:36:39.614558,0 days 00:00:51.516859,0.2019268271316326,256,100000,0.951807460420372,0.0021662155489352167,1000,1,0.24373713440018346,0.36789306008832884,0.01258172234561804,14.91779959359007,COMPLETE
8,-104.27362933333332,2026-05-03 01:36:39.618314,2026-05-03 01:37:10.579666,0 days 00:00:30.961352,0.1152026924410504,64,50000,0.9544241987326659,0.00016309244205756757,2000,1,0.5065386171053694,0.2568125301158847,0.01687074741619552,0.42227083882687827,COMPLETE
9,-244.392203,2026-05-03 01:37:10.583136,2026-05-03 01:37:34.794264,0 days 00:00:24.211128,0.05746452301753527,128,200000,0.9929896283156681,0.00018557377359658557,5000,2,0.24511137454027102,0.2353777024246023,0.005900890926587956,6.316357566775698,COMPLETE
